test_year,method,GEOID,State,stratum,y,pred,lo,hi
2008,rolling_static_cp,17103,Illinois,Normal,11.4114,10.868472571204222,9.162522770196542,11.780500115924525
2008,rolling_static_cp,17105,Illinois,Normal,11.7249,10.342237937575652,8.630588941455924,11.329458225949317
2008,rolling_static_cp,17107,Illinois,Normal,11.7876,11.235289083978444,9.369839117010384,11.932865536527725
2008,rolling_static_cp,17109,Illinois,Normal,12.9162,11.276946849904885,9.37090038806665,11.874041693786385
2008,rolling_static_cp,17111,Illinois,Normal,9.9066,9.837382245780791,7.933706948633492,10.88807896041393
2008,rolling_static_cp,17113,Illinois,Normal,11.913,11.261332192215356,9.291692467431686,12.077927630565403
2008,rolling_static_cp,17115,Illinois,Normal,11.7876,10.602477316403766,8.431284546081788,11.682455174927677
2008,rolling_static_cp,17117,Illinois,Normal,9.8439,9.920222454414878,8.269335922274118,10.982707263127816
2008,rolling_static_cp,17119,Illinois,Normal,9.7185,8.835287946722127,7.599771008524024,10.188101849060644
2008,rolling_static_cp,17121,Illinois,Normal,9.2796,8.3674857799364,6.812507277756945,9.50903430545035
2008,rolling_static_cp,17123,Illinois,Normal,12.3519,10.967896345228667,9.242378512388514,11.837643711005157
