method,axis,stratum,n,picp,mpiw,winkler,bias
weighted_conformal,enso,El Nino,942,0.9618,3.5242,3.9601,-0.0071
weighted_conformal,enso,La Nina,1403,0.9373,3.7123,4.263,-0.1642
locally_adaptive,all,all,2345,0.9488,3.6987,4.167,-0.1011
locally_adaptive,year,2019,410,0.9634,3.6886,3.9622,0.0386
locally_adaptive,year,2020,532,0.9568,3.3467,3.9793,-0.0424
locally_adaptive,year,2022,491,0.9654,3.7985,4.003,-0.3413
locally_adaptive,year,2023,462,0.9654,4.1133,4.5654,0.311
locally_adaptive,year,2021,450,0.8911,3.5896,4.3456,-0.459
locally_adaptive,state,Illinois,441,0.9478,3.5555,3.8353,-0.4257
locally_adaptive,state,Indiana,386,0.9404,3.4634,3.8481,-0.2448
locally_adaptive,state,Iowa,451,0.9357,3.4287,4.2528,0.0277
locally_adaptive,state,Minnesota,345,0.9594,4.1413,4.439,-0.1076
locally_adaptive,state,Missouri,342,0.9327,4.2229,5.0738,0.2971
locally_adaptive,state,Ohio,380,0.9789,3.5508,3.7112,-0.0839
locally_adaptive,year_type,Normal,1717,0.954,3.5406,3.9197,-0.143
locally_adaptive,year_type,Extreme,202,0.896,4.4764,5.8898,0.2225
locally_adaptive,year_type,Moderate,426,0.9531,3.9674,4.3471,-0.0857
locally_adaptive,cdhw,none,1717,0.954,3.5406,3.9197,-0.143
locally_adaptive,cdhw,severe,314,0.9045,4.3915,5.3457,0.0452
locally_adaptive,cdhw,moderate,314,0.965,3.8707,4.3409,-0.0183
locally_adaptive,drought_spei30_lt_-1,no_drought,149,0.953,3.5269,4.0151,0.0445
locally_adaptive,drought_spei30_lt_-1,drought,2196,0.9485,3.7104,4.1773,-0.111
locally_adaptive,heat_days_gt35,no_heat,1217,0.9556,3.4532,3.8346,-0.1406
locally_adaptive,heat_days_gt35,heat,1128,0.9415,3.9635,4.5257,-0.0586
locally_adaptive,enso,El Nino,942,0.9597,3.4955,3.9719,-0.0071
locally_adaptive,enso,La Nina,1403,0.9416,3.8352,4.2981,-0.1642
