Score_Index,NonConformity_Score,Year,GEOID,Target_Yield
654,1.0071,2016,19093,13.5432
655,0.095,2017,19093,13.5244
656,0.7942,2018,19093,13.9319
657,0.5085,2016,19095,13.2046
658,0.424,2017,19095,13.5871
659,0.2372,2018,19095,13.2736
660,0.6659,2016,19097,12.6717
661,0.2149,2017,19097,12.6717
662,-0.1225,2018,19097,12.6905
663,0.3056,2016,19099,13.4617
664,-0.3211,2017,19099,12.8284
665,0.5925,2018,19099,13.7062
666,0.277,2016,19101,12.3519
667,-1.1684,2017,19101,10.3768
668,0.1942,2018,19101,12.4648
669,-0.537,2016,19103,11.8503
670,0.4039,2017,19103,13.3614
671,0.5919,2018,19103,13.3112
672,0.1183,2016,19105,12.6215
673,1.0088,2017,19105,13.6059
674,-0.1795,2018,19105,13.098
675,0.9045,2016,19107,13.0792
676,-1.0249,2017,19107,11.0603
677,0.0557,2018,19107,12.772
678,0.1803,2016,19109,12.8347
679,-0.3899,2017,19109,12.8911
680,-0.4647,2018,19109,11.2985
681,0.5262,2016,19111,12.2014
682,-0.9103,2017,19111,11.1606
683,0.3004,2018,19111,12.6215
684,0.1117,2016,19113,12.5588
685,1.0301,2017,19113,13.631
686,0.5314,2018,19113,13.5056
687,0.3475,2016,19115,12.5525
688,0.7274,2017,19115,13.5808
689,-0.1382,2018,19115,12.3206
690,-0.0149,2016,19117,10.9474
691,0.6434,2016,19119,12.9726
692,0.6128,2017,19119,13.725
693,0.01,2018,19119,12.1011
694,-0.2495,2016,19121,11.6308
695,-0.7938,2017,19121,10.8534
696,-0.6489,2018,19121,10.5211
697,0.2146,2016,19123,12.8347
698,-1.0467,2017,19123,11.1104
699,0.1417,2018,19123,13.0228
700,0.1573,2016,19125,12.4146
701,-0.1176,2017,19125,11.6434
702,-0.1535,2018,19125,11.9255
703,0.2855,2016,19127,13.2485
704,0.6377,2017,19127,13.9445
705,0.8851,2018,19127,14.1702
706,0.0639,2016,19129,11.8127
707,-0.4993,2017,19129,11.9193
708,0.3817,2016,19131,12.4836
709,0.9498,2017,19131,13.3802
710,-0.0633,2018,19131,12.1199
711,0.5581,2016,19133,11.5681
712,0.0077,2017,19133,12.2892
713,-0.8331,2018,19133,11.3738
714,-0.0213,2016,19135,11.286
715,-0.3204,2017,19135,10.6527
716,-0.8666,2018,19135,10.4709
717,-0.3419,2016,19137,11.6308
718,-0.1924,2017,19137,12.4836
719,-0.6683,2018,19137,12.007
720,0.3122,2016,19139,12.7281
721,-0.0463,2017,19139,12.9664
722,0.2907,2018,19139,13.1419
723,0.6727,2016,19141,13.2109
724,0.3061,2017,19141,13.4053
725,0.2876,2018,19141,12.6403
726,0.5188,2016,19143,12.772
727,0.4114,2017,19143,13.2673
728,-0.4565,2018,19143,11.2985
729,-0.0471,2016,19145,11.6497
730,-0.4508,2017,19145,12.1074
731,-0.9109,2018,19145,11.7939
732,-0.0025,2016,19147,12.2892
733,-0.7736,2017,19147,12.2516
734,0.6708,2018,19147,9.9003
735,0.8363,2016,19149,13.1168
736,-0.5807,2017,19149,12.1011
737,1.216,2018,19149,13.4053
738,0.479,2016,19151,12.9664
739,-0.9745,2017,19151,11.9694
740,-0.6411,2018,19151,11.2358
741,-0.1715,2016,19153,12.5275
742,0.0415,2017,19153,12.5588
743,-0.8694,2018,19153,11.6747
744,0.9917,2016,19155,13.1921
745,-0.6687,2017,19155,12.2767
746,0.5477,2016,19157,13.3676
747,0.2069,2017,19157,13.4868
748,0.5403,2018,19157,13.7125
749,0.1436,2016,19159,11.2546
750,-0.7645,2017,19159,10.5211
751,-0.6183,2018,19159,9.6119
752,0.8133,2016,19161,13.4366
753,-0.5179,2017,19161,12.1952
754,0.4367,2018,19161,13.3864
755,0.7336,2016,19163,13.5432
756,1.0242,2017,19163,13.794
757,0.6197,2018,19163,13.4178
758,1.0864,2016,19165,13.4993
